Dataset_Setting,Model_Setting,Data_Name,Num_Symbols,N_Order,Model_Type,Layers,Heads,Embed_Dim,LR,Final_CE,Final_KL
ICL-Markov_V2_O1,L1_H1_D16_attention-only_LR3e-05,ICL-Markov,2,1,attention-only,1,1,16,3e-05,0.562025,0.113732
ICL-Markov_V2_O1,L1_H1_D16_attention-only_LR0.0001,ICL-Markov,2,1,attention-only,1,1,16,0.0001,0.557005,0.112991
ICL-Markov_V2_O1,L1_H1_D16_attention-only_LR0.0005,ICL-Markov,2,1,attention-only,1,1,16,0.0005,0.556236,0.102607
ICL-Markov_V2_O1,L1_H2_D16_attention-only_LR3e-05,ICL-Markov,2,1,attention-only,1,2,16,3e-05,0.569444,0.108492
ICL-Markov_V2_O1,L1_H2_D16_attention-only_LR0.0001,ICL-Markov,2,1,attention-only,1,2,16,0.0001,0.567568,0.104295
ICL-Markov_V2_O1,L1_H2_D16_attention-only_LR0.0005,ICL-Markov,2,1,attention-only,1,2,16,0.0005,0.546296,0.114512
ICL-Markov_V2_O1,L1_H1_D16_standard_LR3e-05,ICL-Markov,2,1,standard,1,1,16,3e-05,0.555022,0.111174
ICL-Markov_V2_O1,L1_H1_D16_standard_LR0.0001,ICL-Markov,2,1,standard,1,1,16,0.0001,0.552904,0.109269
ICL-Markov_V2_O1,L1_H1_D16_standard_LR0.0005,ICL-Markov,2,1,standard,1,1,16,0.0005,0.553017,0.108880
ICL-Markov_V2_O1,L1_H2_D16_standard_LR3e-05,ICL-Markov,2,1,standard,1,2,16,3e-05,0.550216,0.107583
ICL-Markov_V2_O1,L1_H2_D16_standard_LR0.0001,ICL-Markov,2,1,standard,1,2,16,0.0001,0.546016,0.111344
ICL-Markov_V2_O1,L1_H2_D16_standard_LR0.0005,ICL-Markov,2,1,standard,1,2,16,0.0005,0.549762,0.116380
ICL-Markov_V2_O1,L1_H1_D16_linear_LR3e-05,ICL-Markov,2,1,linear,1,1,16,3e-05,0.561842,0.117340
ICL-Markov_V2_O1,L1_H1_D16_linear_LR0.0001,ICL-Markov,2,1,linear,1,1,16,0.0001,0.557290,0.118052
ICL-Markov_V2_O1,L1_H1_D16_linear_LR0.0005,ICL-Markov,2,1,linear,1,1,16,0.0005,0.562671,0.117186
ICL-Markov_V2_O1,L1_H2_D16_linear_LR3e-05,ICL-Markov,2,1,linear,1,2,16,3e-05,0.568853,0.111603
ICL-Markov_V2_O1,L1_H2_D16_linear_LR0.0001,ICL-Markov,2,1,linear,1,2,16,0.0001,0.555889,0.110110
ICL-Markov_V2_O1,L1_H2_D16_linear_LR0.0005,ICL-Markov,2,1,linear,1,2,16,0.0005,0.581556,0.118492
ICL-Markov_V2_O2,L2_H1_D16_attention-only_LR3e-05,ICL-Markov,2,2,attention-only,2,1,16,3e-05,0.602661,0.164192
ICL-Markov_V2_O2,L2_H1_D16_attention-only_LR0.0001,ICL-Markov,2,2,attention-only,2,1,16,0.0001,0.595625,0.162183
ICL-Markov_V2_O2,L2_H1_D16_attention-only_LR0.0005,ICL-Markov,2,2,attention-only,2,1,16,0.0005,0.531029,0.213350
ICL-Markov_V2_O2,L2_H2_D16_attention-only_LR3e-05,ICL-Markov,2,2,attention-only,2,2,16,3e-05,0.602883,0.161161
