Dataset_Setting,Model_Setting,Data_Name,Num_Symbols,N_Order,Model_Type,Attention_Only,PE_Type,Use_Residual,Layers,Heads,Embed_Dim,LR,Final_Sample_CE,Final_Theory_CE,Final_Sample_KL,Final_Theory_KL
ICL-Markov_V3_O1,L1_H1_D16_performer_AttnOnlyTrue_PE-rope_ResTrue_LR0.0001,ICL-Markov,3,1,performer,True,rope,True,1,1,16,0.0001,0.978868,0.979452,0.978867,0.159917
ICL-Markov_V3_O1,L1_H2_D16_performer_AttnOnlyTrue_PE-rope_ResTrue_LR0.0001,ICL-Markov,3,1,performer,True,rope,True,1,2,16,0.0001,0.983585,0.979121,0.983585,0.159954
ICL-Markov_V3_O1,L1_H1_D16_performer_AttnOnlyTrue_PE-rope_ResFalse_LR0.0001,ICL-Markov,3,1,performer,True,rope,False,1,1,16,0.0001,0.986632,0.985945,0.986632,0.172457
ICL-Markov_V3_O1,L1_H2_D16_performer_AttnOnlyTrue_PE-rope_ResFalse_LR0.0001,ICL-Markov,3,1,performer,True,rope,False,1,2,16,0.0001,0.984830,0.986949,0.984830,0.166669
ICL-Markov_V3_O1,L1_H1_D16_performer_AttnOnlyFalse_PE-absolute_ResTrue_LR0.0001,ICL-Markov,3,1,performer,False,absolute,True,1,1,16,0.0001,0.966163,0.976694,0.966163,0.157974
ICL-Markov_V3_O1,L1_H2_D16_performer_AttnOnlyFalse_PE-absolute_ResTrue_LR0.0001,ICL-Markov,3,1,performer,False,absolute,True,1,2,16,0.0001,0.981999,0.978996,0.981999,0.163195
ICL-Markov_V3_O1,L1_H1_D16_performer_AttnOnlyFalse_PE-absolute_ResFalse_LR0.0001,ICL-Markov,3,1,performer,False,absolute,False,1,1,16,0.0001,0.996035,0.988271,0.996035,0.171183
ICL-Markov_V3_O1,L1_H2_D16_performer_AttnOnlyFalse_PE-absolute_ResFalse_LR0.0001,ICL-Markov,3,1,performer,False,absolute,False,1,2,16,0.0001,0.974184,0.981173,0.974184,0.162584
ICL-Markov_V3_O1,L1_H1_D16_performer_AttnOnlyFalse_PE-rope_ResTrue_LR0.0001,ICL-Markov,3,1,performer,False,rope,True,1,1,16,0.0001,0.975388,0.982451,0.975388,0.161816
ICL-Markov_V3_O1,L1_H2_D16_performer_AttnOnlyFalse_PE-rope_ResTrue_LR0.0001,ICL-Markov,3,1,performer,False,rope,True,1,2,16,0.0001,0.979057,0.981136,0.979056,0.162568
ICL-Markov_V3_O1,L1_H1_D16_performer_AttnOnlyFalse_PE-rope_ResFalse_LR0.0001,ICL-Markov,3,1,performer,False,rope,False,1,1,16,0.0001,0.981894,0.988833,0.981894,0.171366
ICL-Markov_V3_O1,L1_H2_D16_performer_AttnOnlyFalse_PE-rope_ResFalse_LR0.0001,ICL-Markov,3,1,performer,False,rope,False,1,2,16,0.0001,0.989558,0.985292,0.989558,0.166470
ICL-Markov_V3_O1,L1_H1_D16_standard_AttnOnlyTrue_PE-absolute_ResTrue_LR0.0001,ICL-Markov,3,1,standard,True,absolute,True,1,1,16,0.0001,0.974658,0.976967,0.974658,0.157072
ICL-Markov_V3_O1,L1_H2_D16_standard_AttnOnlyTrue_PE-absolute_ResTrue_LR0.0001,ICL-Markov,3,1,standard,True,absolute,True,1,2,16,0.0001,0.960538,0.980582,0.960538,0.158260
ICL-Markov_V3_O1,L1_H1_D16_standard_AttnOnlyTrue_PE-absolute_ResFalse_LR0.0001,ICL-Markov,3,1,standard,True,absolute,False,1,1,16,0.0001,0.989691,0.992704,0.989691,0.173212
ICL-Markov_V3_O1,L1_H2_D16_standard_AttnOnlyTrue_PE-absolute_ResFalse_LR0.0001,ICL-Markov,3,1,standard,True,absolute,False,1,2,16,0.0001,0.985882,0.991363,0.985882,0.166978
ICL-Markov_V3_O1,L1_H1_D16_standard_AttnOnlyTrue_PE-rpe_ResTrue_LR0.0001,ICL-Markov,3,1,standard,True,rpe,True,1,1,16,0.0001,0.978929,0.978455,0.978929,0.158212
ICL-Markov_V3_O1,L1_H2_D16_standard_AttnOnlyTrue_PE-rpe_ResTrue_LR0.0001,ICL-Markov,3,1,standard,True,rpe,True,1,2,16,0.0001,0.976760,0.981526,0.976760,0.160282
ICL-Markov_V3_O1,L1_H1_D16_standard_AttnOnlyTrue_PE-rpe_ResFalse_LR0.0001,ICL-Markov,3,1,standard,True,rpe,False,1,1,16,0.0001,0.996711,0.991361,0.996711,0.176426
ICL-Markov_V3_O1,L1_H2_D16_standard_AttnOnlyTrue_PE-rpe_ResFalse_LR0.0001,ICL-Markov,3,1,standard,True,rpe,False,1,2,16,0.0001,0.988414,0.984583,0.988414,0.167832
ICL-Markov_V3_O1,L1_H1_D16_standard_AttnOnlyTrue_PE-rope_ResTrue_LR0.0001,ICL-Markov,3,1,standard,True,rope,True,1,1,16,0.0001,0.986516,0.979455,0.986516,0.160851
ICL-Markov_V3_O1,L1_H2_D16_standard_AttnOnlyTrue_PE-rope_ResTrue_LR0.0001,ICL-Markov,3,1,standard,True,rope,True,1,2,16,0.0001,0.976051,0.978885,0.976051,0.162388
ICL-Markov_V3_O1,L1_H1_D16_standard_AttnOnlyTrue_PE-rope_ResFalse_LR0.0001,ICL-Markov,3,1,standard,True,rope,False,1,1,16,0.0001,0.989748,0.993572,0.989748,0.175103
ICL-Markov_V3_O1,L1_H2_D16_standard_AttnOnlyTrue_PE-rope_ResFalse_LR0.0001,ICL-Markov,3,1,standard,True,rope,False,1,2,16,0.0001,0.968373,0.980803,0.968373,0.157632
ICL-Markov_V3_O1,L1_H1_D16_standard_AttnOnlyFalse_PE-absolute_ResTrue_LR0.0001,ICL-Markov,3,1,standard,False,absolute,True,1,1,16,0.0001,0.974809,0.976279,0.974809,0.161601
ICL-Markov_V3_O1,L1_H2_D16_standard_AttnOnlyFalse_PE-absolute_ResTrue_LR0.0001,ICL-Markov,3,1,standard,False,absolute,True,1,2,16,0.0001,0.975846,0.975766,0.975846,0.158064
ICL-Markov_V3_O1,L1_H1_D16_standard_AttnOnlyFalse_PE-absolute_ResFalse_LR0.0001,ICL-Markov,3,1,standard,False,absolute,False,1,1,16,0.0001,0.984232,0.989966,0.984232,0.169756
ICL-Markov_V3_O1,L1_H2_D16_standard_AttnOnlyFalse_PE-absolute_ResFalse_LR0.0001,ICL-Markov,3,1,standard,False,absolute,False,1,2,16,0.0001,0.981023,0.981867,0.981023,0.164037
ICL-Markov_V3_O1,L1_H1_D16_standard_AttnOnlyFalse_PE-rpe_ResTrue_LR0.0001,ICL-Markov,3,1,standard,False,rpe,True,1,1,16,0.0001,0.988666,0.981207,0.988666,0.164684
ICL-Markov_V3_O1,L1_H2_D16_standard_AttnOnlyFalse_PE-rpe_ResTrue_LR0.0001,ICL-Markov,3,1,standard,False,rpe,True,1,2,16,0.0001,0.982832,0.985792,0.982832,0.162562
ICL-Markov_V3_O1,L1_H1_D16_standard_AttnOnlyFalse_PE-rpe_ResFalse_LR0.0001,ICL-Markov,3,1,standard,False,rpe,False,1,1,16,0.0001,1.000315,0.991318,1.000315,0.175806
ICL-Markov_V3_O1,L1_H2_D16_standard_AttnOnlyFalse_PE-rpe_ResFalse_LR0.0001,ICL-Markov,3,1,standard,False,rpe,False,1,2,16,0.0001,0.964276,0.973711,0.964276,0.163243
ICL-Markov_V3_O1,L1_H1_D16_standard_AttnOnlyFalse_PE-rope_ResTrue_LR0.0001,ICL-Markov,3,1,standard,False,rope,True,1,1,16,0.0001,0.988055,0.978635,0.988055,0.156589
ICL-Markov_V3_O1,L1_H2_D16_standard_AttnOnlyFalse_PE-rope_ResTrue_LR0.0001,ICL-Markov,3,1,standard,False,rope,True,1,2,16,0.0001,0.983973,0.981019,0.983973,0.161299
ICL-Markov_V3_O1,L1_H1_D16_standard_AttnOnlyFalse_PE-rope_ResFalse_LR0.0001,ICL-Markov,3,1,standard,False,rope,False,1,1,16,0.0001,0.992146,0.993867,0.992146,0.176036
ICL-Markov_V3_O1,L1_H2_D16_standard_AttnOnlyFalse_PE-rope_ResFalse_LR0.0001,ICL-Markov,3,1,standard,False,rope,False,1,2,16,0.0001,0.970182,0.979354,0.970182,0.159921
ICL-Markov_V3_O1,L1_H1_D16_linear_AttnOnlyTrue_PE-absolute_ResTrue_LR0.0001,ICL-Markov,3,1,linear,True,absolute,True,1,1,16,0.0001,0.974616,0.977286,0.974616,0.159379
