Dataset_Setting,Model_Setting,Data_Name,Num_Symbols,N_Order,Model_Type,Attention_Only,PE_Type,Use_Residual,Layers,Heads,Embed_Dim,LR,Final_Sample_CE,Final_Theory_CE,Final_Sample_KL,Final_Theory_KL
HMM_V2_O2,L1_H2_D16_performer_AttnOnlyTrue_PE-absolute_ResTrue_LR0.0001,HMM,2,2,performer,True,absolute,True,1,2,16,0.0001,0.534032,0.531901,0.534032,0.271987
HMM_V2_O2,L1_H1_D16_performer_AttnOnlyTrue_PE-absolute_ResFalse_LR0.0001,HMM,2,2,performer,True,absolute,False,1,1,16,0.0001,1.152546,1.162993,1.152546,0.474855
HMM_V2_O2,L1_H2_D16_performer_AttnOnlyTrue_PE-absolute_ResFalse_LR0.0001,HMM,2,2,performer,True,absolute,False,1,2,16,0.0001,0.877483,0.876996,0.877483,0.228822
HMM_V2_O2,L1_H1_D16_performer_AttnOnlyTrue_PE-rope_ResTrue_LR0.0001,HMM,2,2,performer,True,rope,True,1,1,16,0.0001,0.809965,0.824690,0.809965,0.145322
HMM_V2_O2,L1_H2_D16_performer_AttnOnlyTrue_PE-rope_ResTrue_LR0.0001,HMM,2,2,performer,True,rope,True,1,2,16,0.0001,0.948012,0.949163,0.948012,0.577148
HMM_V2_O2,L1_H1_D16_performer_AttnOnlyTrue_PE-rope_ResFalse_LR0.0001,HMM,2,2,performer,True,rope,False,1,1,16,0.0001,0.776473,0.777759,0.776473,0.116564
HMM_V2_O2,L1_H2_D16_performer_AttnOnlyTrue_PE-rope_ResFalse_LR0.0001,HMM,2,2,performer,True,rope,False,1,2,16,0.0001,0.481035,0.495136,0.481035,0.012212
HMM_V2_O2,L1_H1_D16_performer_AttnOnlyFalse_PE-absolute_ResTrue_LR0.0001,HMM,2,2,performer,False,absolute,True,1,1,16,0.0001,0.883145,0.913370,0.883145,0.222534
HMM_V2_O2,L1_H2_D16_performer_AttnOnlyFalse_PE-absolute_ResTrue_LR0.0001,HMM,2,2,performer,False,absolute,True,1,2,16,0.0001,0.543295,0.544970,0.543295,0.073091
HMM_V2_O2,L1_H1_D16_performer_AttnOnlyFalse_PE-absolute_ResFalse_LR0.0001,HMM,2,2,performer,False,absolute,False,1,1,16,0.0001,0.696149,0.696336,0.696149,0.072085
