Dataset_Setting,Model_Type,Layers,Heads,PE_Type,Use_Residual,Attention_Only,LR,Final_Sample_CE,Final_Theory_CE,Final_Sample_KL,Final_Theory_KL
HMM_V3_O1,performer,2,1,absolute,True,False,0.0005,1.44878,1.45125,1.44878,0.38937
HMM_V3_O1,performer,1,1,rope,False,True,0.0001,1.30883,1.30628,1.30883,0.40093
HMM_V3_O1,performer,2,1,rope,False,False,0.0005,1.47482,1.47776,1.47482,0.40311
HMM_V3_O1,performer,2,2,rope,True,False,0.0001,1.35751,1.37818,1.35751,0.4121
HMM_V3_O1,performer,1,2,absolute,False,False,0.0005,1.44281,1.4441,1.44281,0.43265
HMM_V3_O1,performer,2,2,absolute,True,True,0.0005,1.25667,1.26055,1.25667,0.43758
HMM_V3_O1,performer,1,1,rope,False,True,3e-05,1.17027,1.17134,1.17027,0.43939
HMM_V3_O1,performer,1,1,absolute,True,False,0.0001,1.32127,1.32037,1.32127,0.44239
HMM_V3_O1,performer,1,1,rope,True,False,0.0005,1.18848,1.19102,1.18848,0.44332
HMM_V3_O1,performer,2,2,absolute,True,True,0.0001,1.43808,1.43186,1.43808,0.44371
HMM_V3_O1,performer,1,2,rope,False,False,3e-05,1.39072,1.38715,1.39072,0.45421
HMM_V3_O1,performer,1,2,rope,False,True,0.0005,1.52752,1.54405,1.52752,0.46599
HMM_V3_O1,performer,2,1,rope,False,False,0.0001,1.4484,1.45032,1.4484,0.48314
HMM_V3_O1,performer,1,1,absolute,False,True,3e-05,1.25885,1.25845,1.25885,0.4846
HMM_V3_O1,performer,1,1,rope,False,True,0.0005,1.4871,1.48516,1.4871,0.48909
HMM_V3_O1,performer,2,2,rope,True,True,3e-05,1.57477,1.58852,1.57477,0.52649
HMM_V3_O1,performer,2,2,absolute,False,True,0.0001,1.47744,1.49358,1.47744,0.56275
HMM_V3_O1,performer,2,1,absolute,True,True,0.0001,1.65526,1.66811,1.65526,0.60451
HMM_V3_O1,performer,2,2,rope,False,False,0.0005,1.64406,1.65592,1.64406,0.70591
HMM_V3_O1,performer,2,1,absolute,False,False,3e-05,1.59771,1.59148,1.59771,0.71011
HMM_V3_O1,performer,2,2,rope,True,False,0.0005,1.71009,1.71687,1.71009,0.76729
HMM_V3_O1,performer,2,1,rope,True,True,3e-05,1.2188,1.22287,1.2188,0.81196
HMM_V3_O1,performer,2,2,rope,False,True,3e-05,1.57112,1.57816,1.57112,0.85142
HMM_V3_O1,performer,2,2,absolute,False,True,3e-05,1.76458,1.77128,1.76458,0.87556
HMM_V3_O1,performer,1,2,rope,False,True,0.0001,1.75731,1.75536,1.75731,0.97354
HMM_V3_O1,performer,2,1,rope,True,True,0.0005,1.76776,1.77163,1.76776,0.97473
HMM_V3_O1,performer,1,1,absolute,False,False,3e-05,1.66681,1.66714,1.66681,1.00264
HMM_V3_O1,performer,1,2,absolute,True,False,0.0005,2.07445,2.09061,2.07445,1.18064
HMM_V3_O1,performer,1,2,absolute,True,False,0.0001,2.10508,2.15057,2.10508,1.19308
HMM_V3_O1,performer,1,2,rope,True,False,0.0001,2.06645,2.08723,2.06645,1.20975
HMM_V3_O1,performer,2,1,absolute,True,False,0.0001,2.04567,2.0421,2.04567,1.21661
HMM_V3_O1,performer,2,1,rope,True,False,0.0005,2.08775,2.08618,2.08775,1.31666
HMM_V3_O1,performer,2,2,absolute,True,False,3e-05,2.46628,2.45584,2.46628,1.42794
HMM_V3_O1,performer,1,2,rope,False,False,0.0001,2.10248,2.10791,2.10248,1.56974
HMM_V3_O1,performer,1,2,absolute,False,False,3e-05,2.27956,2.28039,2.27956,1.68435
HMM_V3_O1,standard,1,2,absolute,False,False,0.0001,0.80058,0.80796,0.80058,0.00891
HMM_V3_O1,standard,1,1,absolute,False,False,0.0001,1.09964,1.09781,1.09964,0.00988
HMM_V3_O1,standard,2,1,rpe,True,False,0.0005,0.9989,0.99776,0.9989,0.00994
HMM_V3_O1,standard,2,2,absolute,False,False,0.0001,0.8588,0.86034,0.8588,0.0139
HMM_V3_O1,standard,2,1,absolute,False,True,3e-05,1.07862,1.07545,1.07862,0.01704
HMM_V3_O1,standard,1,2,rope,False,True,0.0001,1.1111,1.10572,1.1111,0.0206
HMM_V3_O1,standard,2,1,rpe,False,False,3e-05,1.03919,1.03228,1.03919,0.02534
HMM_V3_O1,standard,2,1,rope,True,True,0.0005,1.03975,1.0345,1.03975,0.02778
HMM_V3_O1,standard,1,1,rpe,True,False,0.0001,0.69467,0.68286,0.69467,0.03003
HMM_V3_O1,standard,2,1,rpe,False,False,0.0001,1.02095,1.008,1.02095,0.03126
HMM_V3_O1,standard,1,2,rope,True,True,3e-05,1.12739,1.12126,1.12739,0.04148
HMM_V3_O1,standard,2,2,absolute,False,True,0.0005,0.91898,0.92474,0.91898,0.04663
HMM_V3_O1,standard,2,1,rpe,False,True,3e-05,1.03658,1.03494,1.03658,0.05019
HMM_V3_O1,standard,1,2,rpe,False,False,0.0005,1.12731,1.13376,1.12731,0.05111
HMM_V3_O1,standard,2,2,absolute,True,True,0.0005,1.03322,1.02582,1.03322,0.0525
HMM_V3_O1,standard,1,2,rope,True,False,3e-05,1.07928,1.08276,1.07928,0.05286
HMM_V3_O1,standard,2,1,absolute,True,False,3e-05,1.09517,1.09363,1.09517,0.05757
HMM_V3_O1,standard,1,1,rope,True,False,3e-05,0.59298,0.5983,0.59298,0.0598
HMM_V3_O1,standard,2,2,rope,False,False,0.0001,1.13268,1.1348,1.13268,0.06212
HMM_V3_O1,standard,2,1,rope,False,True,0.0005,1.0003,1.00145,1.0003,0.06218
HMM_V3_O1,standard,2,1,rope,False,True,0.0001,1.06845,1.07553,1.06845,0.06335
HMM_V3_O1,standard,1,2,rope,True,False,0.0001,1.10989,1.11237,1.10989,0.0642
HMM_V3_O1,standard,2,1,rpe,False,False,0.0005,1.11995,1.11698,1.11995,0.07023
HMM_V3_O1,standard,2,1,rope,False,False,3e-05,1.10281,1.10062,1.10281,0.07058
HMM_V3_O1,standard,1,2,rope,True,True,0.0001,1.11031,1.10862,1.11031,0.07075
HMM_V3_O1,standard,2,2,absolute,True,True,0.0001,1.11595,1.11598,1.11595,0.07281
HMM_V3_O1,standard,1,1,rope,False,True,0.0005,1.06517,1.06463,1.06517,0.07954
HMM_V3_O1,standard,2,2,rpe,True,False,3e-05,1.11622,1.11846,1.11622,0.08283
HMM_V3_O1,standard,2,2,rpe,False,False,3e-05,1.03071,1.029,1.03071,0.0831
HMM_V3_O1,standard,1,2,absolute,True,True,0.0005,1.0775,1.07549,1.0775,0.08489
HMM_V3_O1,standard,1,1,absolute,True,True,0.0005,1.12012,1.11882,1.12012,0.08555
HMM_V3_O1,standard,2,2,rope,True,True,3e-05,1.14583,1.14458,1.14583,0.08699
HMM_V3_O1,standard,2,2,absolute,True,False,0.0005,0.95405,0.9534,0.95405,0.08874
HMM_V3_O1,standard,1,2,rope,False,False,0.0001,1.14401,1.12711,1.14401,0.09466
HMM_V3_O1,standard,1,2,absolute,False,True,3e-05,1.02095,1.01273,1.02095,0.09526
HMM_V3_O1,standard,1,1,absolute,True,False,0.0005,1.12709,1.13406,1.12709,0.10128
HMM_V3_O1,standard,2,1,rpe,True,True,0.0001,1.14594,1.14232,1.14594,0.10163
HMM_V3_O1,standard,1,2,absolute,True,False,0.0001,1.21365,1.19818,1.21365,0.10517
HMM_V3_O1,standard,2,1,rope,True,False,0.0005,1.08747,1.08742,1.08747,0.10608
HMM_V3_O1,standard,2,1,absolute,False,False,0.0001,1.15164,1.13198,1.15164,0.11403
HMM_V3_O1,standard,2,2,rope,True,False,0.0001,1.20368,1.20364,1.20368,0.11891
HMM_V3_O1,standard,1,2,rpe,True,False,3e-05,1.01594,1.01922,1.01594,0.1194
HMM_V3_O1,standard,1,1,absolute,True,False,0.0001,1.03395,1.02791,1.03395,0.14062
HMM_V3_O1,standard,2,2,absolute,False,True,3e-05,1.05516,1.06097,1.05516,0.14147
HMM_V3_O1,standard,2,1,absolute,True,False,0.0001,1.09062,1.09383,1.09062,0.14302
HMM_V3_O1,standard,1,1,rpe,True,True,0.0001,1.14264,1.13857,1.14264,0.15144
HMM_V3_O1,standard,1,2,absolute,True,True,3e-05,1.16328,1.17366,1.16328,0.15542
HMM_V3_O1,standard,2,2,rpe,True,True,3e-05,1.00611,0.98946,1.00611,0.15844
HMM_V3_O1,standard,2,2,rope,False,False,3e-05,1.00811,1.00981,1.00811,0.16265
HMM_V3_O1,standard,1,2,rpe,False,False,3e-05,1.05962,1.06186,1.05962,0.1776
HMM_V3_O1,standard,1,1,absolute,False,False,3e-05,1.22238,1.22732,1.22238,0.17844
HMM_V3_O1,standard,2,2,absolute,True,False,3e-05,1.15549,1.15075,1.15549,0.18051
HMM_V3_O1,standard,2,2,rope,True,True,0.0001,1.22128,1.22535,1.22128,0.18255
HMM_V3_O1,standard,2,1,rope,True,False,3e-05,1.16649,1.14663,1.16649,0.19486
HMM_V3_O1,standard,2,2,rpe,False,False,0.0001,1.09903,1.09443,1.09903,0.19782
HMM_V3_O1,standard,2,1,rpe,True,False,0.0001,1.20271,1.19521,1.20271,0.19988
HMM_V3_O1,standard,2,2,rpe,True,True,0.0005,1.15699,1.15494,1.15699,0.20044
HMM_V3_O1,standard,1,2,rpe,True,False,0.0001,1.10094,1.09631,1.10094,0.20448
HMM_V3_O1,standard,2,2,rope,True,False,3e-05,1.28096,1.27488,1.28096,0.21161
HMM_V3_O1,standard,2,1,rope,False,True,3e-05,1.2188,1.2158,1.2188,0.21581
HMM_V3_O1,standard,2,1,absolute,True,False,0.0005,1.07962,1.08637,1.07962,0.21676
HMM_V3_O1,standard,1,1,rope,True,False,0.0005,1.29727,1.2891,1.29727,0.21796
HMM_V3_O1,standard,1,2,absolute,True,False,3e-05,1.24836,1.24944,1.24836,0.21958
HMM_V3_O1,standard,1,1,absolute,True,True,0.0001,1.294,1.29112,1.294,0.22335
HMM_V3_O1,standard,1,1,rope,False,False,0.0001,0.97284,0.97671,0.97284,0.22354
HMM_V3_O1,standard,1,1,absolute,False,False,0.0005,1.26962,1.26308,1.26962,0.22455
HMM_V3_O1,standard,1,1,rpe,True,False,0.0005,1.17784,1.1722,1.17784,0.22817
HMM_V3_O1,standard,1,2,rope,False,False,0.0005,1.21016,1.21051,1.21016,0.23621
HMM_V3_O1,standard,1,2,rope,False,True,3e-05,1.08489,1.08479,1.08489,0.2378
HMM_V3_O1,standard,1,1,absolute,False,True,0.0005,1.21403,1.22379,1.21403,0.25193
HMM_V3_O1,standard,2,1,rpe,True,False,3e-05,1.11571,1.10598,1.11571,0.25252
HMM_V3_O1,standard,2,2,rpe,False,False,0.0005,1.37231,1.34758,1.37231,0.26177
HMM_V3_O1,standard,1,1,rope,False,True,0.0001,1.2504,1.25232,1.2504,0.26314
HMM_V3_O1,standard,1,1,rope,False,False,3e-05,1.28422,1.27774,1.28422,0.26593
HMM_V3_O1,standard,1,2,rpe,True,False,0.0005,1.33888,1.33175,1.33888,0.26797
HMM_V3_O1,standard,2,2,rpe,True,False,0.0005,1.02587,1.02502,1.02587,0.28597
HMM_V3_O1,standard,1,1,rope,False,True,3e-05,1.17089,1.18377,1.17089,0.29282
HMM_V3_O1,standard,1,1,rpe,True,False,3e-05,1.3066,1.32264,1.3066,0.29423
HMM_V3_O1,standard,2,1,rope,True,False,0.0001,1.30571,1.30658,1.30571,0.30294
