Model_Type,Layers,Heads,PE_Type,Use_Residual,Attention_Only,LR,Final_Sample_CE,Final_Theory_CE,Final_Sample_KL,Final_Theory_KL
standard,1,2,rpe,True,False,0.0001,0.56675,0.56106,0.56675,0.07711
standard,1,2,absolute,True,True,0.0005,0.56372,0.55918,0.56372,0.07725
standard,1,2,rope,True,False,0.0001,0.5555,0.55227,0.5555,0.07749
standard,2,1,absolute,True,True,3e-05,0.57059,0.56088,0.57059,0.07763
standard,2,1,rpe,True,True,3e-05,0.57482,0.56287,0.57482,0.0777
standard,1,1,rpe,True,True,3e-05,0.57163,0.56425,0.57163,0.07783
standard,1,2,rope,True,False,3e-05,0.5525,0.55343,0.5525,0.07802
standard,1,1,rope,False,False,0.0005,0.55795,0.5584,0.55795,0.07833
standard,1,1,rope,True,True,0.0005,0.5531,0.55734,0.5531,0.07847
standard,1,1,rope,False,True,0.0005,0.55539,0.56261,0.55539,0.07853
standard,1,2,absolute,True,False,0.0001,0.56754,0.55878,0.56754,0.07872
standard,1,2,rope,True,True,3e-05,0.55884,0.56028,0.55884,0.07883
standard,1,2,rpe,True,True,0.0001,0.55938,0.56156,0.55938,0.07895
standard,2,1,absolute,False,True,0.0005,0.5559,0.5552,0.5559,0.07927
standard,1,2,rpe,True,True,3e-05,0.55624,0.55758,0.55624,0.08015
standard,2,2,absolute,False,False,0.0005,0.55859,0.56589,0.55859,0.08067
standard,1,2,rope,False,True,3e-05,0.56861,0.56952,0.56861,0.08073
standard,2,1,absolute,False,False,0.0005,0.56201,0.55755,0.56201,0.08099
standard,1,2,rope,False,False,0.0001,0.56981,0.56351,0.56981,0.081
standard,1,2,rpe,True,False,3e-05,0.56348,0.56029,0.56348,0.08118
standard,1,1,rope,True,False,3e-05,0.56129,0.5614,0.56129,0.08157
standard,2,2,absolute,False,False,3e-05,0.55578,0.56262,0.55578,0.08188
standard,2,2,rpe,False,False,0.0001,0.56104,0.56343,0.56104,0.08217
standard,1,2,rpe,False,True,0.0001,0.55773,0.56201,0.55773,0.08265
standard,2,2,rope,False,False,3e-05,0.55768,0.5604,0.55768,0.08271
standard,2,1,rope,False,False,3e-05,0.5662,0.5663,0.5662,0.08368
standard,1,2,absolute,False,True,3e-05,0.56763,0.56859,0.56763,0.08414
standard,2,1,rpe,False,True,3e-05,0.56198,0.56673,0.56198,0.08439
standard,2,2,rope,False,True,3e-05,0.55638,0.56396,0.55638,0.08442
standard,1,2,rope,False,True,0.0001,0.54988,0.55965,0.54988,0.08479
standard,2,2,absolute,False,True,3e-05,0.55942,0.5638,0.55942,0.08523
standard,1,1,absolute,False,True,0.0001,0.56228,0.56836,0.56228,0.08544
standard,2,1,absolute,False,True,0.0001,0.56234,0.56455,0.56234,0.08591
standard,2,1,rope,False,True,3e-05,0.56557,0.56695,0.56557,0.08592
standard,1,1,rope,False,True,0.0001,0.56205,0.56585,0.56205,0.08596
standard,2,1,rope,False,True,0.0001,0.57265,0.5683,0.57265,0.08614
standard,2,1,rpe,False,False,3e-05,0.57881,0.56829,0.57881,0.0869
standard,1,1,rpe,False,False,0.0001,0.55773,0.56822,0.55773,0.08724
standard,1,1,rope,False,False,0.0001,0.5651,0.56853,0.5651,0.08731
standard,2,1,rpe,False,True,0.0001,0.56235,0.56866,0.56235,0.08769
standard,1,2,rpe,False,False,3e-05,0.55848,0.56938,0.55848,0.08817
standard,1,1,absolute,False,True,3e-05,0.58133,0.5699,0.58133,0.08821
standard,2,2,rpe,False,False,3e-05,0.56591,0.57093,0.56591,0.08898
standard,1,1,rpe,False,True,3e-05,0.58374,0.57869,0.58374,0.0893
standard,1,1,rpe,False,True,0.0001,0.57742,0.57006,0.57742,0.08944
standard,1,1,rope,False,False,3e-05,0.56907,0.56662,0.56907,0.09024
standard,2,2,rpe,False,True,3e-05,0.57359,0.57377,0.57359,0.09025
standard,1,2,rope,False,False,3e-05,0.55868,0.56979,0.55868,0.09048
standard,2,1,absolute,False,True,3e-05,0.56738,0.57413,0.56738,0.09109
standard,2,1,absolute,False,False,3e-05,0.57391,0.57439,0.57391,0.0916
standard,1,1,rpe,False,False,3e-05,0.566,0.56974,0.566,0.09265
standard,1,1,rope,False,True,3e-05,0.56683,0.57072,0.56683,0.09265
standard,1,2,absolute,False,False,3e-05,0.57976,0.57256,0.57976,0.0928
standard,1,2,rpe,False,True,3e-05,0.56899,0.56884,0.56899,0.09296
standard,1,1,absolute,False,False,3e-05,0.58208,0.57695,0.58208,0.09534
