Model_Type,Layers,Heads,PE_Type,Use_Residual,Attention_Only,LR,Final_Sample_CE,Final_Theory_CE,Final_Sample_KL,Final_Theory_KL
performer,1,2,absolute,False,True,3e-05,1.5723,1.57424,1.5723,0.72801
performer,2,2,rope,True,False,0.0005,1.47331,1.47463,1.47331,0.72841
performer,2,2,absolute,True,False,0.0005,1.40693,1.40057,1.40693,0.76196
performer,1,1,absolute,False,False,0.0001,1.44753,1.45176,1.44753,0.76614
performer,2,2,absolute,False,True,3e-05,1.74871,1.75727,1.74871,0.80069
performer,2,2,rope,True,False,3e-05,1.78617,1.7867,1.78617,0.81036
performer,2,1,absolute,True,False,0.0005,1.80659,1.8309,1.80659,0.82382
performer,1,1,absolute,False,True,3e-05,1.67052,1.68047,1.67052,0.82966
performer,1,2,absolute,False,False,3e-05,1.5687,1.57849,1.5687,0.83066
performer,1,2,absolute,True,False,3e-05,1.51159,1.51707,1.51159,0.83598
performer,2,1,rope,False,False,0.0005,1.77783,1.76654,1.77783,0.84597
performer,1,1,absolute,True,False,3e-05,1.74698,1.7427,1.74698,0.85136
performer,2,1,absolute,True,False,0.0001,1.85336,1.89327,1.85336,0.87424
performer,2,2,rope,False,False,0.0001,1.89958,1.88035,1.89958,0.8895
performer,1,2,rope,True,True,3e-05,1.79397,1.77439,1.79397,0.89219
performer,1,2,rope,True,False,3e-05,1.8413,1.82202,1.8413,0.90352
performer,1,2,absolute,True,False,0.0005,1.69471,1.68176,1.69471,0.94304
performer,1,2,absolute,True,True,0.0005,1.75928,1.75295,1.75928,0.95479
performer,2,1,absolute,False,False,3e-05,1.75566,1.74921,1.75566,0.99448
performer,1,2,rope,False,False,0.0001,1.72135,1.73458,1.72135,0.99753
performer,1,2,rope,False,True,0.0001,1.84327,1.86119,1.84327,1.00992
performer,2,2,absolute,True,False,3e-05,1.71747,1.70621,1.71747,1.01321
performer,2,1,absolute,True,True,0.0001,1.90306,1.90287,1.90306,1.02048
performer,1,2,absolute,True,True,0.0001,1.66415,1.67738,1.66415,1.06963
performer,2,2,absolute,True,True,0.0001,2.05993,2.05097,2.05993,1.07868
performer,1,1,absolute,True,False,0.0005,1.98672,1.98398,1.98672,1.08248
performer,2,2,absolute,True,False,0.0001,2.09853,2.052,2.09853,1.10618
performer,1,1,absolute,True,True,0.0001,1.93552,1.92896,1.93552,1.11233
performer,2,2,absolute,True,True,3e-05,1.87241,1.87975,1.87241,1.18332
performer,2,1,rope,True,False,3e-05,1.99538,1.98402,1.99538,1.25884
performer,1,1,absolute,True,False,0.0001,1.9978,1.98301,1.9978,1.28425
performer,2,2,rope,True,False,0.0001,2.01034,2.01294,2.01034,1.32099
performer,2,1,rope,False,False,0.0001,2.21037,2.20109,2.21037,1.39258
performer,1,1,absolute,False,False,0.0005,2.16701,2.19371,2.16701,1.50406
performer,2,2,absolute,False,True,0.0001,2.41266,2.38652,2.41266,1.59753
performer,1,2,absolute,False,True,0.0001,2.17934,2.17723,2.17934,1.69466
performer,1,1,rope,True,True,0.0005,2.55175,2.56084,2.55175,1.79758
performer,1,1,rope,True,False,0.0005,2.63138,2.63367,2.63138,1.83578
performer,1,2,rope,False,False,3e-05,2.81395,2.80775,2.81395,2.35948
performer,2,1,rope,True,True,0.0005,3.67989,3.66327,3.67989,3.17528
standard,2,1,absolute,True,False,0.0005,1.04221,1.04864,1.04221,0.07774
standard,1,1,rpe,True,False,0.0005,0.97599,0.97462,0.97599,0.09661
standard,2,2,rpe,True,True,0.0005,0.98895,1.00654,0.98895,0.10438
standard,1,1,rpe,False,True,0.0005,1.01504,1.0079,1.01504,0.11334
standard,1,1,absolute,True,True,0.0001,0.95109,0.93852,0.95109,0.12237
standard,2,2,rope,False,False,0.0005,0.99067,1.00379,0.99067,0.17398
standard,1,1,absolute,False,False,0.0005,0.98305,0.99536,0.98305,0.17466
standard,2,1,absolute,True,True,0.0001,1.12869,1.10928,1.12869,0.1799
standard,1,2,absolute,True,False,3e-05,0.96986,0.97638,0.96986,0.19996
standard,2,2,rpe,False,True,0.0005,1.04925,1.04143,1.04925,0.20811
standard,2,2,rpe,True,False,0.0005,1.17556,1.1726,1.17556,0.20868
standard,1,2,absolute,True,True,0.0005,1.1828,1.17219,1.1828,0.22864
standard,2,1,rpe,False,True,0.0005,1.13878,1.14586,1.13878,0.23156
standard,1,1,rpe,False,True,0.0001,1.18946,1.18568,1.18946,0.25002
standard,1,1,rpe,True,True,0.0005,0.93487,0.92694,0.93487,0.2581
standard,1,1,rope,True,False,3e-05,1.27802,1.276,1.27802,0.26983
standard,1,1,rope,False,False,0.0005,1.07048,1.07895,1.07048,0.27576
standard,2,1,rope,False,False,3e-05,1.13199,1.12986,1.13199,0.27852
standard,1,1,absolute,False,True,0.0005,1.11493,1.11313,1.11493,0.2791
standard,2,2,rpe,True,False,0.0001,1.20702,1.1883,1.20702,0.28699
standard,2,1,rope,False,True,0.0005,1.21554,1.2417,1.21554,0.29635
standard,1,2,rope,True,False,0.0005,0.96053,0.9497,0.96053,0.319
standard,2,2,absolute,False,True,0.0001,1.33414,1.3462,1.33414,0.32295
